StateName,lat,lon,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,minDuration,durationDetails,statutes,bufferZone,details
Pennsylvania,40.590752,-77.209755,6,6,7,8,8,8,9,9,11,13,15,15,15 years to life. Updates based on tier: Tier II – annually Tier II – semiannually Tier II – quarterly SVP - quarterly Transient – monthly,http://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=42,,-
Rhode Island,41.680893,-71.51178,15,13,17,16,3,16,14,15,15,15,16,10,10 years to life. Updates for SVPs are quarterly. All others are annual after the first two years; updates during first two years are quarterly. §11-37.1-4.,http://www.paroleboard.ri.gov/sexoffender/agree.php,,Tier III offenders barred from schools and parks. Note: this restriction was enjoined in 2015 pending a trial on the merits.
South Carolina,33.856892,-80.945007,19,20,23,23,25,27,28,28,19,30,33,100,Lifetime. Tier III and SVP update every 90 days; all others every 6 mo. §23-3-460.,http://www.scstatehouse.gov/code/title23.php,1000,"For certain offenses against minors, may not reside w/in 1,000 ft. of school, day care center, ÒchildrenÕs recreational facility,Ó park, or playground. _23-3-535"
South Dakota,44.299782,-99.438828,22,25,30,31,35,33,35,36,37,39,40,5,Five year to life; can petition for removal. Updates every 6 mo. §22-24B-7.,http://www.sdlegislature.gov/Statutes/Codified_Laws/DisplayStatute.aspx?Statute=22-24b&Type=Statute,500,"500 ft. from school, park, public playground, or public pool. _22-24B-23."
Tennessee,35.747845,-86.692345,13,14,17,18,21,19,24,29,30,32,33,10,Ten years to life. Violent offenders update quarterly; all others annually. §40-39-202,https://www.tn.gov/tbi/topic/sexoffender-registry-law,1000,"1,000 ft. from school, day care center, child care facility, public park, playground, recreation center or athletic field, or the offenderÕs victim or victimÕs family."
Texas,31.054487,-97.563461,20,19,21,22,23,23,26,27,29,31,31,10,10 years to life. Annual updates.,https://www.txdps.state.tx.us/administration/crime_records/pages/faq.htm#a1,,-
Utah,40.150032,-111.862434,33,27,28,26,27,29,25,24,24,24,25,10,10 years to life. Updates every 6 mo. §77-41-105.,http://le.utah.gov/xcode/code.html,,"May not be on premises of a day care or preschool, public swimming pool, school, community park open to the public, playground that is open to the public."
Vermont,44.045876,-72.710686,36,38,39,39,7,39,18,18,23,30,21,10,10 years to life. SVPs update every 10 days; all others annually. §5407.,http://vcic.vermont.gov/sor/state-law,,-
Virginia,37.769337,-78.169968,17,16,19,6,22,21,23,23,24,34,26,15,"15 years to life, upon petition. §9.1-910. SVPs update every 90 days; all others annually. §9.1-904.",http://law.lis.virginia.gov/vacode,500,Certain adult offenders with convictions involving minors sustained after July 2006 may not reside w/in 500 ft. of a school or parks adjacent to schools. _18.2-370.3.
Washington,47.400902,-121.490494,30,29,31,31,29,30,30,30,26,27,26,10,10 years to life. Updates based on tier: LII and LIII – every 90 days LI – Annually. §9A.44.140.,http://app.leg.wa.gov/rcw/default.aspx,880,Certain L2 and L3 offenders on supervision may not reside w/in 880 ft. of a school. _9.94A.030(6)
West Virginia,38.491226,-80.954453,12,14,15,15,17,18,20,20,19,21,25,10,10 years to life. §15- 12-4. SVPs update quarterly; all others annually. §15-12-10,http://www.legis.state.wv.us/wvcode/code.cfm?chap=15&art=12,1000,"Certain registrants on supervised release for 10 yrs. or longer may not reside w/in or loiter w/in 1,000 ft. of school, child care facility, victim, or victimÕs family, with exceptions. _62-12-26."
Wisconsin,44.268543,-89.616508,31,32,35,36,36,37,39,39,40,41,42,15,15 years to life. Verification for SVPs is every 90 days; all others annually. §301.45(4).,https://docs.legis.wisconsin.gov/statutes/statutes/301/45,,Registrants must provide notice before going on school grounds. _ 301.475.
Wyoming,42.755966,-107.30249,18,19,21,25,25,25,26,26,62,31,28,100,Lifetime; petitions for removal available. §7-19-304. Updates… §7-19-302.,http://legisweb.state.wy.us/LSOWeb/wyStatutes.aspx,1000,Adult registrants may not enter school grounds if s/he Òhas reason to believe children . . . are present and are involved in school activity or when children are presents w/in 30 mins. before or after scheduled school activity.Ó Various exceptions apply. _6-2-320.
